#Spec 	Teff 	BV 	VIc 	VKs 	JH 	HKs 	KsW1 	KsW2 	KsW3 	KsW4 	BCV 	BCJ
40 	7280 	0.28 	0.34 	0.73 	0.11 	0.06 	0.04 	0.03 	0.00 	0.08 	0.01 	0.57
41 	6990 	0.34 	0.39 	0.89 	0.14 	0.07 	0.04 	0.04 	0.00 	0.09 	0.00 	0.68
42 	6710 	0.38 	0.43 	0.99 	0.15 	0.08 	0.04 	0.05 	0.00 	0.09 	-0.01 	0.75
43 	6660 	0.41 	0.45 	1.01 	0.16 	0.08 	0.04 	0.05 	0.01 	0.09 	-0.01 	0.76
44 	6590 	0.43 	0.48 	1.05 	0.17 	0.08 	0.04 	0.06 	0.01 	0.09 	-0.01 	0.79
45 	6420 	0.47 	0.51 	1.14 	0.19 	0.08 	0.04 	0.03 	0.01 	0.10 	-0.02 	0.85
46 	6250 	0.50 	0.55 	1.25 	0.21 	0.09 	0.04 	0.04 	0.02 	0.10 	-0.04 	0.91
47 	6140 	0.53 	0.58 	1.31 	0.22 	0.09 	0.05 	0.04 	0.02 	0.10 	-0.05 	0.95
48 	6100 	0.55 	0.60 	1.34 	0.23 	0.09 	0.05 	0.04 	0.03 	0.10 	-0.06 	0.96
49 	6090 	0.56 	0.62 	1.35 	0.23 	0.09 	0.05 	0.04 	0.03 	0.10 	-0.06 	0.97
50 	6050 	0.57 	0.66 	1.37 	0.24 	0.09 	0.06 	0.04 	0.03 	0.11 	-0.06 	0.98
51 	5970 	0.59 	0.67 	1.42 	0.25 	0.10 	0.06 	0.03 	0.04 	0.11 	-0.07 	1.00
52 	5870 	0.60 	0.71 	1.49 	0.27 	0.10 	0.07 	0.03 	0.04 	0.11 	-0.09 	1.03
53 	5740 	0.63 	0.72 	1.58 	0.29 	0.10 	0.07 	0.03 	0.05 	0.12 	-0.11 	1.08
54 	5620 	0.66 	0.73 	1.68 	0.31 	0.11 	0.07 	0.03 	0.05 	0.12 	-0.14 	1.12
55 	5500 	0.70 	0.76 	1.77 	0.33 	0.11 	0.08 	0.03 	0.06 	0.13 	-0.17 	1.16
56 	5390 	0.74 	0.79 	1.86 	0.35 	0.12 	0.08 	0.03 	0.06 	0.13 	-0.20 	1.19
57 	5290 	0.77 	0.83 	1.95 	0.37 	0.12 	0.09 	0.04 	0.07 	0.14 	-0.23 	1.23
58 	5210 	0.79 	0.87 	2.02 	0.39 	0.12 	0.09 	0.04 	0.08 	0.14 	-0.26 	1.25
59 	5120 	0.80 	0.91 	2.10 	0.41 	0.13 	0.09 	0.05 	0.08 	0.15 	-0.29 	1.27
60 	5030 	0.82 	0.93 	2.19 	0.43 	0.13 	0.09 	0.06 	0.09 	0.16 	-0.33 	1.30
61 	4920 	0.86 	0.96 	2.32 	0.46 	0.14 	0.09 	0.06 	0.10 	0.18 	-0.38 	1.34
62 	4760 	0.93 	1.01 	2.49 	0.49 	0.14 	0.09 	0.07 	0.12 	0.19 	-0.46 	1.40
63 	4550 	1.02 	1.12 	2.75 	0.55 	0.16 	0.09 	0.08 	0.13 	0.21 	-0.60 	1.44
64 	4330 	1.11 	1.27 	3.06 	0.60 	0.17 	0.09 	0.09 	0.14 	0.22 	-0.77 	1.52
65 	4140 	1.18 	1.44 	3.35 	0.64 	0.18 	0.09 	0.10 	0.16 	0.24 	-0.95 	1.58
66 	4020 	1.24 	1.57 	3.54 	0.66 	0.19 	0.10 	0.10 	0.17 	0.27 	-1.08 	1.61
67 	3970 	1.28 	1.66 	3.62 	0.66 	0.19 	0.10 	0.12 	0.19 	0.29 	-1.14 	1.63
67.3 	3940 	1.32 	1.74 	3.67 	0.67 	0.20 	0.10 	0.13 	0.21 	0.32 	-1.17 	1.63
67.7 	3880 	1.37 	1.83 	3.77 	0.67 	0.20 	0.11 	0.15 	0.23 	0.35 	-1.24 	1.66
68 	3770 	1.41 	1.95 	3.96 	0.68 	0.21 	0.11 	0.17 	0.25 	0.38 	-1.38 	1.69
69 	3630 	1.45 	2.11 	4.22 	0.68 	0.22 	0.12 	0.20 	0.27 	0.42 	-1.58 	1.74
70 	3490 	1.46 	2.28 	4.50 	0.67 	0.23 	0.14 	0.23 	0.31 	0.47 	-1.80 	1.80
71 	3360 	1.47 	2.48 	4.78 	0.66 	0.25 	0.16 	0.28 	0.36 	0.51 	-2.03 	1.84
72 	3160 	1.53 	2.78 	5.23 	0.62 	0.27 	0.19 	0.35 	0.43 	0.56 	-2.43 	1.91
73 	2880 	1.65 	3.31 	6.08 	0.55 	0.31 	0.22 	0.43 	0.52 	0.62 	-3.21 	2.01
